datahora,dia,mes,ano,date,time,bt,mt,at,mat,total
2023-01-01T03:00:00+00:00,01,01,2023,2023-01-01,03:00,634627.886585,218266.8856,136676.8211,28382.662,1017954.255285
2023-01-01T13:30:00+00:00,01,01,2023,2023-01-01,13:30,919318.003907,229612.7589,138611.7191,28825.7573,1316368.2392069998
2023-01-01T17:45:00+00:00,01,01,2023,2023-01-01,17:45,917429.853799,245927.8036,142582.5299,28101.0579,1334041.245199
2023-01-04T22:00:00+00:00,04,01,2023,2023-01-04,22:00,1180235.412117,456348.6279,190655.3336,41916.3788,1869155.752417
2023-01-07T01:15:00+00:00,07,01,2023,2023-01-07,01:15,756387.467755,357312.085,192250.9428,87350.5117,1393301.007255
2023-01-07T10:30:00+00:00,07,01,2023,2023-01-07,10:30,955114.98461,385317.1448,176340.3386,83975.0194,1600747.48741
2023-01-09T13:45:00+00:00,09,01,2023,2023-01-09,13:45,879042.37946,584409.7941,182002.8711,76198.7106,1721653.7552600002
2023-01-10T03:45:00+00:00,10,01,2023,2023-01-10,03:45,556389.012345,375865.5816,177129.0659,84731.0931,1194114.752945
2023-01-12T06:15:00+00:00,12,01,2023,2023-01-12,06:15,597882.407649,420072.7652,199529.9706,84007.6159,1301492.7593490002
2023-01-12T22:45:00+00:00,12,01,2023,2023-01-12,22:45,1017911.643509,443967.0758,203201.4467,69669.3453,1734749.5113089997
2023-01-13T07:15:00+00:00,13,01,2023,2023-01-13,07:15,722856.721442,478532.8436,204518.3093,88525.628,1494433.5023420001
2023-01-14T16:00:00+00:00,14,01,2023,2023-01-14,16:00,938972.949638,347131.222,182202.0875,84890.4871,1553196.746238
2023-01-15T12:30:00+00:00,15,01,2023,2023-01-15,12:30,969445.396541,278077.2642,168920.2993,86933.5368,1503376.496841
2023-01-16T06:45:00+00:00,16,01,2023,2023-01-16,06:45,649113.574812,394244.9267,200287.7474,93905.7606,1337552.009512
2023-01-18T23:30:00+00:00,18,01,2023,2023-01-18,23:30,978538.815633,430432.9117,203997.1453,64826.8719,1677795.7445329998
