ts_utc,temperature_2m,precipitation,wind_speed_10m,shortwave_radiation,cloud_cover,year,month,day,hour,latitude,longitude,elevation_m,_source_file,_ingested_at
2023-01-01T00:00:00Z,16.6,0.0,20.6,0.0,55.0,2023,1,1,0,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T01:00:00Z,16.5,0.0,21.0,0.0,19.0,2023,1,1,1,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T02:00:00Z,16.4,0.0,20.5,0.0,14.0,2023,1,1,2,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T03:00:00Z,16.6,0.0,23.1,0.0,53.0,2023,1,1,3,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T04:00:00Z,16.9,0.0,25.9,0.0,100.0,2023,1,1,4,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T05:00:00Z,17.2,0.0,27.7,0.0,100.0,2023,1,1,5,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T06:00:00Z,17.4,0.0,27.7,0.0,84.0,2023,1,1,6,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T07:00:00Z,17.1,0.0,26.6,0.0,98.0,2023,1,1,7,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T08:00:00Z,17.2,0.0,26.1,0.0,98.0,2023,1,1,8,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T09:00:00Z,17.7,0.0,26.2,43.0,99.0,2023,1,1,9,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T10:00:00Z,18.3,0.5,29.5,156.0,90.0,2023,1,1,10,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T11:00:00Z,17.0,4.5,31.8,178.0,100.0,2023,1,1,11,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T12:00:00Z,18.5,0.4,26.6,78.0,100.0,2023,1,1,12,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T13:00:00Z,18.3,0.8,29.5,270.0,100.0,2023,1,1,13,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T14:00:00Z,17.4,0.1,32.3,165.0,100.0,2023,1,1,14,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T15:00:00Z,16.2,3.6,33.9,139.0,100.0,2023,1,1,15,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T16:00:00Z,15.9,2.5,26.6,43.0,100.0,2023,1,1,16,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T17:00:00Z,15.7,3.6,23.5,12.0,100.0,2023,1,1,17,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T18:00:00Z,14.1,2.1,16.6,0.0,100.0,2023,1,1,18,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T19:00:00Z,14.1,0.3,13.4,0.0,100.0,2023,1,1,19,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T20:00:00Z,13.6,0.0,9.8,0.0,100.0,2023,1,1,20,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T21:00:00Z,13.4,0.0,8.1,0.0,100.0,2023,1,1,21,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T22:00:00Z,12.9,0.0,8.7,0.0,7.0,2023,1,1,22,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-01T23:00:00Z,11.8,0.0,6.9,0.0,7.0,2023,1,1,23,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T00:00:00Z,12.4,0.0,8.7,0.0,3.0,2023,1,2,0,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T01:00:00Z,10.1,0.0,6.7,0.0,0.0,2023,1,2,1,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T02:00:00Z,10.2,0.0,6.3,0.0,82.0,2023,1,2,2,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T03:00:00Z,11.4,0.0,5.7,0.0,100.0,2023,1,2,3,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T04:00:00Z,8.9,0.0,8.1,0.0,79.0,2023,1,2,4,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T05:00:00Z,8.6,0.0,8.6,0.0,91.0,2023,1,2,5,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T06:00:00Z,8.9,0.0,8.0,0.0,100.0,2023,1,2,6,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T07:00:00Z,8.7,0.0,8.5,0.0,100.0,2023,1,2,7,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T08:00:00Z,9.1,0.0,7.6,0.0,100.0,2023,1,2,8,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T09:00:00Z,11.4,0.0,5.4,36.0,100.0,2023,1,2,9,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T10:00:00Z,12.5,0.0,5.6,129.0,98.0,2023,1,2,10,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T11:00:00Z,13.6,0.0,4.6,276.0,16.0,2023,1,2,11,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T12:00:00Z,14.4,0.1,8.2,383.0,68.0,2023,1,2,12,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T13:00:00Z,15.0,0.0,8.3,418.0,17.0,2023,1,2,13,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T14:00:00Z,15.3,0.0,9.8,398.0,37.0,2023,1,2,14,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T15:00:00Z,15.1,0.0,11.0,344.0,79.0,2023,1,2,15,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T16:00:00Z,14.6,0.0,10.4,222.0,64.0,2023,1,2,16,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T17:00:00Z,13.4,0.0,7.3,102.0,13.0,2023,1,2,17,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T18:00:00Z,11.8,0.0,8.6,6.0,0.0,2023,1,2,18,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T19:00:00Z,11.1,0.0,9.7,0.0,0.0,2023,1,2,19,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T20:00:00Z,10.8,0.0,9.8,0.0,0.0,2023,1,2,20,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T21:00:00Z,10.6,0.0,9.8,0.0,0.0,2023,1,2,21,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T22:00:00Z,10.2,0.0,8.4,0.0,0.0,2023,1,2,22,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-02T23:00:00Z,9.9,0.0,7.2,0.0,0.0,2023,1,2,23,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T00:00:00Z,10.4,0.0,6.9,0.0,0.0,2023,1,3,0,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T01:00:00Z,9.0,0.0,6.1,0.0,1.0,2023,1,3,1,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T02:00:00Z,8.7,0.0,6.5,0.0,1.0,2023,1,3,2,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T03:00:00Z,8.4,0.0,7.2,0.0,0.0,2023,1,3,3,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T04:00:00Z,8.1,0.0,7.2,0.0,0.0,2023,1,3,4,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T05:00:00Z,7.8,0.0,7.4,0.0,25.0,2023,1,3,5,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T06:00:00Z,7.3,0.0,7.9,0.0,12.0,2023,1,3,6,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T07:00:00Z,7.2,0.0,7.9,0.0,0.0,2023,1,3,7,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T08:00:00Z,7.2,0.0,7.9,0.0,0.0,2023,1,3,8,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T09:00:00Z,10.1,0.0,7.0,58.0,0.0,2023,1,3,9,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T10:00:00Z,11.9,0.0,7.8,206.0,0.0,2023,1,3,10,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T11:00:00Z,13.0,0.0,8.0,343.0,0.0,2023,1,3,11,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T12:00:00Z,13.3,0.0,7.8,439.0,0.0,2023,1,3,12,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T13:00:00Z,14.1,0.0,7.9,477.0,0.0,2023,1,3,13,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T14:00:00Z,14.8,0.0,9.5,454.0,0.0,2023,1,3,14,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T15:00:00Z,14.9,0.0,12.5,379.0,3.0,2023,1,3,15,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
2023-01-03T16:00:00Z,14.4,0.0,13.6,259.0,1.0,2023,1,3,16,38.69947,-9.196167,64.0,open-meteo-archive-api,2026-05-20T12:58:30Z
