datahora,dia,mes,ano,date,time,dgm,pre,total
2024-03-21T11:00:00+00:00,21,03,2024,2024-03-21,11:00,846436.0,768853.25,1615289.25
2024-03-21T15:15:00+00:00,21,03,2024,2024-03-21,15:15,823337.0,718012.75,1541349.75
2024-03-21T20:15:00+00:00,21,03,2024,2024-03-21,20:15,870356.0,1017343.75,1887699.75
2024-03-22T11:45:00+00:00,22,03,2024,2024-03-22,11:45,985416.0,632737.25,1618153.25
2024-03-23T05:30:00+00:00,23,03,2024,2024-03-23,05:30,146620.0,978690.25,1125310.25
2024-03-23T11:45:00+00:00,23,03,2024,2024-03-23,11:45,408143.0,943416.5,1351559.5
2024-03-24T00:45:00+00:00,24,03,2024,2024-03-24,00:45,301654.0,862793.5,1164447.5
2024-03-24T08:45:00+00:00,24,03,2024,2024-03-24,08:45,273002.0,829851.5,1102853.5
2024-03-24T16:45:00+00:00,24,03,2024,2024-03-24,16:45,724448.0,479632.75,1204080.75
2024-03-25T01:15:00+00:00,25,03,2024,2024-03-25,01:15,821641.0,283373.25,1105014.25
2024-03-25T10:00:00+00:00,25,03,2024,2024-03-25,10:00,739691.0,889782.5,1629473.5
2024-03-25T10:15:00+00:00,25,03,2024,2024-03-25,10:15,705017.0,919190.0,1624207.0
2024-03-25T18:30:00+00:00,25,03,2024,2024-03-25,18:30,750377.0,940401.25,1690778.25
2024-03-25T19:15:00+00:00,25,03,2024,2024-03-25,19:15,1062086.0,753291.25,1815377.25
2024-03-26T09:45:00+00:00,26,03,2024,2024-03-26,09:45,1089971.0,628572.0,1718543.0
2024-03-26T16:00:00+00:00,26,03,2024,2024-03-26,16:00,645139.0,1163258.5,1808397.5
2024-03-26T21:45:00+00:00,26,03,2024,2024-03-26,21:45,575552.0,1276052.0,1851604.0
2024-03-27T15:15:00+00:00,27,03,2024,2024-03-27,15:15,600519.0,1275819.5,1876338.5
2024-03-27T19:15:00+00:00,27,03,2024,2024-03-27,19:15,641227.0,1334528.0,1975755.0
2024-03-27T19:30:00+00:00,27,03,2024,2024-03-27,19:30,693945.0,1318026.0,2011971.0
2024-03-27T20:30:00+00:00,27,03,2024,2024-03-27,20:30,714671.0,1301707.75,2016378.75
2024-03-27T22:00:00+00:00,27,03,2024,2024-03-27,22:00,584721.0,1253622.5,1838343.5
2024-03-28T07:30:00+00:00,28,03,2024,2024-03-28,07:30,514375.0,955197.75,1469572.75
2024-03-28T08:45:00+00:00,28,03,2024,2024-03-28,08:45,671889.0,1055342.25,1727231.25
2024-03-28T19:45:00+00:00,28,03,2024,2024-03-28,19:45,764907.0,1249466.25,2014373.25
2024-03-28T21:00:00+00:00,28,03,2024,2024-03-28,21:00,681911.0,1255856.75,1937767.75
2024-03-30T04:30:00+00:00,30,03,2024,2024-03-30,04:30,533867.0,581627.75,1115494.75
2024-03-30T06:15:00+00:00,30,03,2024,2024-03-30,06:15,597050.0,515473.0,1112523.0
2024-03-30T18:15:00+00:00,30,03,2024,2024-03-30,18:15,972795.0,605493.5,1578288.5
2024-03-31T01:45:00+00:00,31,03,2024,2024-03-31,02:45,717203.0,419682.0,1136885.0
2024-03-31T11:30:00+00:00,31,03,2024,2024-03-31,12:30,827984.0,607240.25,1435224.25
2024-03-31T14:15:00+00:00,31,03,2024,2024-03-31,15:15,293156.0,847133.25,1140289.25
2024-03-31T17:15:00+00:00,31,03,2024,2024-03-31,18:15,404783.0,790604.0,1195387.0
2024-03-31T17:45:00+00:00,31,03,2024,2024-03-31,18:45,434279.0,816793.5,1251072.5
2024-03-31T18:00:00+00:00,31,03,2024,2024-03-31,19:00,486625.0,805168.5,1291793.5
2024-03-31T20:30:00+00:00,31,03,2024,2024-03-31,21:30,714910.0,850820.75,1565730.75
2024-04-01T05:00:00+00:00,01,04,2024,2024-04-01,06:00,92800.0,1008910.0,1101710.0
2024-04-01T14:45:00+00:00,01,04,2024,2024-04-01,15:45,366727.0,1069237.75,1435964.75
2024-04-01T16:45:00+00:00,01,04,2024,2024-04-01,17:45,597356.0,821982.0,1419338.0
