latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.69947,-9.196167,64.0,0,GMT,GMT

time,temperature_2m (°C),cloud_cover (%),shortwave_radiation (W/m²),precipitation (mm)
2024-01-01T00:00,9.1,100,0.0,0.00
2024-01-01T01:00,10.2,89,0.0,0.00
2024-01-01T02:00,9.6,2,0.0,0.00
2024-01-01T03:00,8.7,14,0.0,0.00
2024-01-01T04:00,8.5,10,0.0,0.00
2024-01-01T05:00,7.8,33,0.0,0.00
2024-01-01T06:00,7.8,3,0.0,0.00
2024-01-01T07:00,7.1,10,0.0,0.00
2024-01-01T08:00,6.4,41,0.0,0.00
2024-01-01T09:00,9.1,11,57.0,0.00
2024-01-01T10:00,10.8,6,200.0,0.00
2024-01-01T11:00,12.1,17,330.0,0.00
2024-01-01T12:00,13.1,10,408.0,0.00
2024-01-01T13:00,13.8,28,464.0,0.00
2024-01-01T14:00,14.5,60,446.0,0.00
2024-01-01T15:00,14.9,96,368.0,0.00
2024-01-01T16:00,14.9,100,236.0,0.00
2024-01-01T17:00,14.2,100,90.0,0.00
2024-01-01T18:00,11.1,100,4.0,0.00
2024-01-01T19:00,10.5,100,0.0,0.00
2024-01-01T20:00,9.4,100,0.0,0.00
2024-01-01T21:00,11.2,100,0.0,0.00
2024-01-01T22:00,10.1,100,0.0,0.00
2024-01-01T23:00,9.6,100,0.0,0.00
2024-01-02T00:00,11.4,100,0.0,0.00
2024-01-02T01:00,12.9,100,0.0,0.00
2024-01-02T02:00,14.1,100,0.0,0.00
2024-01-02T03:00,15.6,99,0.0,0.70
2024-01-02T04:00,15.8,100,0.0,0.10
2024-01-02T05:00,15.6,100,0.0,0.10
2024-01-02T06:00,15.6,99,0.0,0.10
2024-01-02T07:00,15.8,67,0.0,0.30
2024-01-02T08:00,15.8,100,0.0,0.30
2024-01-02T09:00,16.2,96,33.0,0.30
2024-01-02T10:00,16.9,95,141.0,0.40
2024-01-02T11:00,17.5,100,247.0,0.10
2024-01-02T12:00,17.9,100,327.0,0.40
2024-01-02T13:00,18.0,100,343.0,0.30
2024-01-02T14:00,17.6,100,221.0,0.30
2024-01-02T15:00,17.4,100,111.0,0.20
2024-01-02T16:00,17.1,100,48.0,0.20
2024-01-02T17:00,16.9,100,24.0,0.30
2024-01-02T18:00,16.6,100,1.0,0.50
2024-01-02T19:00,16.6,100,0.0,0.30
2024-01-02T20:00,16.6,100,0.0,0.20
2024-01-02T21:00,16.6,100,0.0,0.90
2024-01-02T22:00,16.5,100,0.0,2.30
2024-01-02T23:00,16.5,100,0.0,1.10
2024-01-03T00:00,16.6,100,0.0,1.40
2024-01-03T01:00,16.8,100,0.0,0.80
2024-01-03T02:00,16.6,100,0.0,1.20
2024-01-03T03:00,16.6,100,0.0,0.30
2024-01-03T04:00,16.8,100,0.0,0.10
2024-01-03T05:00,16.7,100,0.0,0.10
2024-01-03T06:00,16.6,100,0.0,0.20
2024-01-03T07:00,16.4,100,0.0,0.40
2024-01-03T08:00,16.2,100,0.0,0.10
2024-01-03T09:00,16.3,100,20.0,0.00
2024-01-03T10:00,16.5,100,37.0,0.10
2024-01-03T11:00,15.9,100,46.0,0.20
2024-01-03T12:00,14.8,100,70.0,3.40
2024-01-03T13:00,16.0,100,72.0,1.30
2024-01-03T14:00,15.9,100,66.0,0.70
2024-01-03T15:00,15.9,100,58.0,0.20
2024-01-03T16:00,15.6,100,27.0,1.20
2024-01-03T17:00,15.2,100,21.0,0.60
2024-01-03T18:00,14.6,100,1.0,0.20
2024-01-03T19:00,14.6,100,0.0,0.10
2024-01-03T20:00,14.6,100,0.0,0.10
2024-01-03T21:00,13.9,100,0.0,0.00
2024-01-03T22:00,13.8,95,0.0,0.00
2024-01-03T23:00,13.2,21,0.0,0.00
2024-01-04T00:00,13.1,69,0.0,0.00
2024-01-04T01:00,14.2,98,0.0,0.40
2024-01-04T02:00,13.8,57,0.0,0.10
2024-01-04T03:00,12.9,99,0.0,0.00
2024-01-04T04:00,13.4,100,0.0,0.00
2024-01-04T05:00,13.8,99,0.0,1.30
2024-01-04T06:00,15.3,100,0.0,0.30
2024-01-04T07:00,15.4,100,0.0,0.20
2024-01-04T08:00,14.9,99,0.0,0.10
2024-01-04T09:00,15.1,100,44.0,0.00
2024-01-04T10:00,15.9,100,119.0,0.00
2024-01-04T11:00,16.4,100,252.0,0.10
2024-01-04T12:00,16.6,100,295.0,0.10
2024-01-04T13:00,16.5,8,314.0,0.00
2024-01-04T14:00,16.5,24,419.0,0.00
2024-01-04T15:00,16.2,51,324.0,0.00
2024-01-04T16:00,15.9,100,201.0,0.00
2024-01-04T17:00,14.9,48,77.0,0.00
2024-01-04T18:00,13.8,100,5.0,0.10
2024-01-04T19:00,13.9,23,0.0,0.20
2024-01-04T20:00,13.6,29,0.0,0.00
2024-01-04T21:00,13.1,13,0.0,0.00
2024-01-04T22:00,12.6,18,0.0,0.00
2024-01-04T23:00,12.2,32,0.0,0.00
2024-01-05T00:00,11.6,44,0.0,0.00
2024-01-05T01:00,10.9,70,0.0,0.00
2024-01-05T02:00,10.8,94,0.0,0.00
2024-01-05T03:00,10.4,47,0.0,0.10
2024-01-05T04:00,10.7,15,0.0,0.40
2024-01-05T05:00,10.1,53,0.0,0.00
2024-01-05T06:00,9.9,43,0.0,0.00
2024-01-05T07:00,8.9,21,0.0,0.00
2024-01-05T08:00,9.1,6,0.0,0.00
2024-01-05T09:00,10.4,9,55.0,0.00
2024-01-05T10:00,11.9,1,201.0,0.00
2024-01-05T11:00,13.1,0,334.0,0.00
2024-01-05T12:00,13.8,8,437.0,0.00
2024-01-05T13:00,14.1,18,445.0,0.00
2024-01-05T14:00,14.1,38,393.0,0.00
2024-01-05T15:00,13.9,34,329.0,0.00
2024-01-05T16:00,13.2,27,230.0,0.00
2024-01-05T17:00,12.3,39,91.0,0.00
2024-01-05T18:00,11.6,37,5.0,0.00
2024-01-05T19:00,10.9,43,0.0,0.00
2024-01-05T20:00,10.9,56,0.0,0.00
2024-01-05T21:00,10.6,24,0.0,0.00
2024-01-05T22:00,10.4,31,0.0,0.00
2024-01-05T23:00,10.3,63,0.0,0.00
2024-01-06T00:00,9.7,37,0.0,0.00
2024-01-06T01:00,9.9,45,0.0,0.00
2024-01-06T02:00,9.6,41,0.0,0.00
2024-01-06T03:00,9.3,87,0.0,0.00
2024-01-06T04:00,8.9,98,0.0,0.00
2024-01-06T05:00,8.6,98,0.0,0.00
2024-01-06T06:00,8.1,93,0.0,0.00
2024-01-06T07:00,7.1,100,0.0,0.00
2024-01-06T08:00,7.1,99,0.0,0.00
2024-01-06T09:00,9.6,100,51.0,0.00
2024-01-06T10:00,11.4,100,162.0,0.00
2024-01-06T11:00,12.8,48,300.0,0.00
2024-01-06T12:00,13.6,81,423.0,0.00
2024-01-06T13:00,13.8,95,373.0,0.00
2024-01-06T14:00,14.1,100,357.0,0.00
